# id	fix_commit	mutation_patch	package	test_name	expected_failure
unsupported-reduction	37a5b80561ef8384772ff59d4addbd793d6e7a39	scripts/regression-spine/unsupported-reduction.patch	./internal/daemon	TestRegressionSpineRejectsUnsupportedReduction	TestRegressionSpineRejectsUnsupportedReduction/BOND
position-identity	205318b521dc30cfd1417b3763070d081aa003f2	scripts/regression-spine/position-identity.patch	./internal/daemon	TestRegressionSpineSeparatesPositionIdentity	TestRegressionSpineSeparatesPositionIdentity/bond_contracts
breadth-history-window	98d6e0f4d4709f1d29705aa54f4802f5698ad219	scripts/regression-spine/breadth-history-window.patch	./internal/breadth/spx	TestBreadthRetainsPreceding252SessionExtremes	TestBreadthRetainsPreceding252SessionExtremes
gamma-narrow-expiry	98d6e0f4d4709f1d29705aa54f4802f5698ad219	scripts/regression-spine/gamma-narrow-expiry.patch	./internal/daemon	TestGammaSweepFindsNarrowIntradayNegativePocket	TestGammaSweepFindsNarrowIntradayNegativePocket
portfolio-short-download	0ccbada5cfbe928973697f89ed74f8bfbda0ed0f	scripts/regression-spine/portfolio-short-download.patch	./pkg/ibkr	TestReconnectShortPortfolioDownloadIsNotCurrent	TestReconnectShortPortfolioDownloadIsNotCurrent
portfolio-completeness	01906e6cef2af9b49d69d1952b9cf1b800dc09b0	scripts/regression-spine/portfolio-completeness.patch	./internal/daemon	TestReduceSweepRequiresCompleteExposure	TestReduceSweepRequiresCompleteExposure
budget-account-evidence	01906e6cef2af9b49d69d1952b9cf1b800dc09b0	scripts/regression-spine/budget-account-evidence.patch	./internal/daemon	TestBudgetGovernorRequiresObservedFunds	TestBudgetGovernorRequiresObservedFunds
quote-poll-overwrite	01906e6cef2af9b49d69d1952b9cf1b800dc09b0	scripts/regression-spine/quote-poll-overwrite.patch	./internal/app/live	TestPollPreservesStreamQuotes	TestPollPreservesStreamQuotes
gamma-warning-hydration	db774e44c637770bf85d1e8ac9304fde54a205ba	scripts/regression-spine/gamma-warning-hydration.patch	./internal/daemon	TestGammaTypedWarningsSurviveCacheRehydration	TestGammaTypedWarningsSurviveCacheRehydration
front-future-resolution-reuse	db774e44c637770bf85d1e8ac9304fde54a205ba	scripts/regression-spine/front-future-resolution-reuse.patch	./pkg/ibkr	TestFrontFutureReusesCompletedResolution	TestFrontFutureReusesCompletedResolution
inventory-receipt-lifetime	db774e44c637770bf85d1e8ac9304fde54a205ba	scripts/regression-spine/inventory-receipt-lifetime.patch	./internal/daemon	TestBorrowInventoryRejectsExpiredOrUndatedReceipt	TestBorrowInventoryRejectsExpiredOrUndatedReceipt
data-health-additive-json	be4a8ab02efee1b4e400b7360343e6d45520b259	scripts/regression-spine/data-health-additive-json.patch	./.	TestDataHealthPreservesAdditiveProducerEvidence	TestDataHealthPreservesAdditiveProducerEvidence
gamma-session-rollover	ad5893b434da094d430c4591d9e749ba2530dc28	scripts/regression-spine/gamma-session-rollover.patch	./internal/daemon	TestGammaSessionRolloverReplacesRetainedBlockedSnapshot	TestGammaSessionRolloverReplacesRetainedBlockedSnapshot/clean_success
delayed-access-disclosure	44917bdda7fadf8b0685ff4760c7879eb64486b6	scripts/regression-spine/delayed-access-disclosure.patch	./pkg/ibkr	TestShared354DuringFarmImpairmentDisclosesDelayedService	TestShared354DuringFarmImpairmentDisclosesDelayedService
index-history-trades-first	44917bdda7fadf8b0685ff4760c7879eb64486b6	scripts/regression-spine/index-history-trades-first.patch	./pkg/ibkr	TestIndexDailyHistoryAsksTradesFirst	TestIndexDailyHistoryAsksTradesFirst
vetoed-refusal-before-delayed-price	4ec3bb9f561a6bc48870b0543aac3a27f7d80f30	scripts/regression-spine/vetoed-refusal-before-delayed-price.patch	./pkg/ibkr	TestShared354DuringFarmImpairmentDisclosesDelayedService	TestShared354DuringFarmImpairmentDisclosesDelayedService
feed-item-isolation	7c4906c7c9fa7cc7f685407114d7b622312edc64	scripts/regression-spine/feed-item-isolation.patch	./internal/macrosource	TestRSSSkipsInvalidItemsAndKeepsFeed	TestRSSSkipsInvalidItemsAndKeepsFeed
